4,6,14,22,28,29
8,12,15,24,28,33
3,5,6,13,26,29
2,4,14,19,20,33
13,17,20,26,35,37
5,6,10,20,26,29
1,9,20,25,27,31
5,22,25,33,35,36
2,6,8,14,29,34
12,13,20,25,27,30
2,5,6,14,22,32
3,7,12,22,27,36
7,13,19,32,35,37
2,7,10,18,24,26
5,8,11,20,29,36
4,8,16,20,21,36
3,15,26,28,32,33
1,10,11,13,18,25
6,10,14,15,26,36
9,16,22,27,31,32
6,9,17,26,27,36
7,15,17,18,20,32
1,5,14,21,27,30
5,19,23,25,30,31
1,2,7,8,9,26
7,15,17,19,27,30
3,18,19,22,24,26
6,10,25,31,35,37
2,5,21,29,34,37
8,14,16,20,24,30
2,13,14,19,21,30
2,10,14,15,21,29
1,4,11,19,30,32
1,13,19,22,34,35
8,9,11,12,13,22
17,18,25,28,30,34
5,16,18,23,24,26
6,19,24,25,26,37
1,8,13,27,32,37
1,4,5,16,21,29
3,12,14,24,32,34
3,15,17,20,21,37
1,13,15,30,31,32
4,7,13,16,17,27
14,21,27,31,32,35
2,11,13,17,25,27
1,11,13,25,27,29
3,6,9,10,17,36
4,9,10,12,13,29
6,10,15,18,27,34
4,17,18,23,25,28
2,9,18,23,29,33
7,19,27,29,34,35
6,8,21,25,30,35
7,9,14,21,26,34
3,5,6,19,23,35
10,17,18,22,24,29
3,4,10,11,30,32
18,19,29,34,35,36
10,12,19,25,26,36
14,20,22,26,31,37
2,20,26,27,28,30
9,13,15,20,25,36
1,6,9,10,12,17
2,3,13,21,22,31
1,6,15,17,20,32
5,6,16,17,20,22
2,8,12,14,17,21
9,17,23,28,30,36
12,15,18,20,23,29
5,6,8,11,20,27
5,12,13,33,35,36
1,8,11,23,30,35
11,14,18,20,22,33
6,9,15,23,24,28
19,21,22,24,30,37
5,6,10,15,28,29
10,18,22,27,31,35
5,7,8,15,19,26
1,8,11,17,25,30
16,17,18,20,28,35
4,7,12,14,17,34
3,7,14,24,27,28
5,8,16,21,34,35
2,6,17,29,31,35
13,21,22,26,29,34
5,7,9,17,19,29
24,27,30,34,35,37
7,9,16,23,29,30
16,21,27,28,32,37
2,3,11,18,25,27
2,16,21,26,33,34
5,15,22,23,25,29
1,6,9,13,23,35
2,14,22,23,25,28
11,13,20,29,30,37
2,6,13,16,27,33
8,11,18,21,24,30
3,5,7,13,17,28
17,18,20,21,26,32
3,4,14,18,32,35
3,8,10,12,28,37
4,6,8,18,27,37
4,17,18,24,27,36
6,8,11,23,32,35
2,5,10,12,18,26
4,11,18,22,29,31
15,18,22,23,26,34
6,8,18,22,29,37
1,13,23,24,30,31
5,16,22,23,24,33
6,10,12,15,27,33
1,3,8,12,19,30
6,9,18,23,26,33
1,15,17,31,32,34
1,11,13,15,18,25
11,12,18,24,31,33
1,2,4,9,12,16
2,9,11,13,29,33
11,12,15,22,23,29
7,32,33,34,35,36
5,13,16,18,23,26
5,13,21,22,25,28
2,3,5,10,26,27
11,15,17,27,33,37
11,15,22,29,35,37
14,15,18,22,23,29
6,10,15,19,36,37
3,14,15,19,26,33
2,10,11,13,22,37
11,13,22,29,31,33
10,16,22,30,35,36
4,14,16,22,28,33
3,13,14,18,28,30
8,11,13,20,22,25
1,6,10,22,24,26
8,12,17,21,27,30
8,12,21,24,25,27
1,10,16,28,29,32
4,6,13,19,33,35
4,11,19,28,31,34
11,24,30,34,35,37
1,7,11,17,36,37
4,8,17,20,25,30
3,8,10,15,30,33
4,13,22,25,28,30
9,20,22,23,29,31
1,2,5,12,34,35
4,5,18,20,28,36
7,9,20,24,28,35
6,12,25,27,30,37
9,12,25,29,34,36
2,9,27,29,32,36
5,7,10,15,22,35
3,20,28,31,33,37
1,2,9,11,15,21
2,10,14,17,28,34
2,9,13,16,28,29
4,6,10,11,14,25
1,3,29,30,33,35
4,8,9,23,25,31
3,11,18,25,33,36
7,16,18,21,23,36
2,19,28,29,34,36
1,2,5,15,27,31
12,15,20,30,33,37
2,5,6,10,19,29
5,7,9,11,24,29
9,10,11,12,21,32
5,10,17,23,32,36
2,6,11,16,27,34
8,10,15,23,26,34
1,9,10,21,26,37
8,13,17,18,34,36
13,17,19,26,30,36
7,9,10,34,35,36
7,19,20,25,31,34
3,8,11,19,26,35
1,4,12,18,31,37
2,12,14,27,29,32
3,15,24,25,26,35
6,10,18,27,35,36
2,9,28,31,32,35
2,7,10,23,26,35
5,15,20,25,27,32
4,16,30,32,34,36
2,5,7,16,22,37
3,15,21,28,30,32
4,11,13,20,32,35
5,9,21,23,28,33
6,13,14,21,23,26
3,5,8,16,17,20
2,3,28,30,33,35
2,10,12,23,30,33
4,11,27,32,34,37
7,14,20,27,29,31
4,11,12,13,20,27
2,5,18,19,20,31
1,10,17,21,22,31
5,13,17,26,29,33
1,2,6,19,29,33
7,8,15,30,33,34
8,11,22,33,34,35
7,8,15,18,29,34
13,15,24,25,30,32
6,8,9,25,29,37
4,9,10,14,19,35
11,17,19,31,36,37
5,11,12,13,15,22
3,4,6,18,26,29
5,10,19,25,32,35
2,6,12,26,30,35
1,3,11,16,20,35
3,11,17,20,31,32
1,2,3,4,7,25
6,8,9,17,29,30
20,22,28,31,35,36
3,5,9,14,22,23
2,4,13,16,29,34
1,3,5,16,26,30
2,3,20,31,35,37
4,9,23,28,34,36
11,16,19,24,27,35
10,21,28,30,31,35
2,12,18,28,33,34
15,17,23,25,30,35
4,13,24,25,32,34
3,6,16,28,32,33
3,4,23,26,31,35
4,9,12,14,17,29
7,17,24,29,36,37
1,3,6,9,34,37
17,21,23,24,26,35
3,6,17,23,27,32
4,8,9,22,29,33
5,6,11,21,22,28
